Id,X1,y
288,"Gewährung eines Baubeitrages an den Verein Altersheime Sömmerli für die Küchensanierung, Teilumnutzung und Erweiterung des Hauses ""Lilienfeld""",7
289,Projekt für die Bereinigung des Grundbuchs,6
290,Erlass eines Reglements über Beiträge an die Kosten der Benutzung des Areals der Olma Messen St.Gallen für nicht-kommerzielle Veranstaltende,6
291,Seismik-Messkampagne und Vorarbeiten für die Projektierung einer Tiefengeothermieanlage mit Ausbau des Fernwärmenetzes,10
292,Textilmuseum St.Gallen; Subventionserhöhung ab dem Jahr 2019,3
293,Mobilitätsmanagement in der Stadtverwaltung; Einführung von Ostwind-Firmenabos,10
294,Altwinkelnstrasse; Ausbau und Instandstellung von der Biderstrasse bis zum Haus Nr. 38,16
295,Initiative: Reithalle für die Kultur,0
296,Postulat Martin Bösch: Quartierentwicklung: Ein neues Handlungsfeld für die Stadt St.Gallen; Frage der Erheblicherklärung,0
297,Umweltkonzept der Stadt St.Gallen,12
298,St.Gallen - Ruckhalde; Tschudistrasse bis Teufener Strasse; Neubau der Mitteldruck-Erdgasleitung und einer Druckregelanlage sowie Neubau der Wasser-Verteilleitung bzw. Sanierung der Niederdruck-Erdgasleitung,10
299,Geschäftsbericht 2016 der Ombudsstelle Stadt St.Gallen,6
300,Ersatzwahl des ersten Stadtschreiber-Stellvertreters für den Rest der Amtsdauer2017 - 2020,11
301,Quartierentwicklung: ein neues Handlungsfeld für die Stadt St.Gallen?,16
302,"Nachtragskredite, gebundene Ausgaben und Zusatzkredite im Rechnungsjahr 2000",2
303,Die Abgeltung der Zentrumslasten,2
304,Nachtrag V zur Gemeindeordnung - Wahl des Stadtpräsidiums und der übrigen Mit-glieder des Stadtrates in Übereinstimmung mit dem Gemeindegesetz von 2009,6
305,Nachtrag II zum Geschäftsreglement des Stadtparlaments: Anpassung der Bestimmungen über Bürgerrechtsgesuche an das neue kantonale Recht sowie Klärung der Bestimmungen über die Postulate,0
306,Totalrevision Abfallreglement,1
307,Betriebsbeitrag an die Stiftung für Arbeit (SfA),7
308,St.Gallen – Rechenwaldstrasse; Kehrichtheizkraftwerk bis Rechenstrasse;  Neubau der Erdgas-Mitteldruckleitung sowie Erneuerung der Wasserverteilleitung; Verpflichtungskredit,10
309,Naturmuseum; Neubau beim Botanischen Garten an der Rorschacher Strasse: Wettbewerbskredit,3
310,Gesamtrevision des Reglements über den Energiefonds,12
311,"Langgasse, Buswendeplatz Heiligkreuz, Ausbau; Verpflichtungskredit",16
312,"St.Gallen – Rorschacher Strasse; Erneuerung der Wassertransportleitung sowie der Wasserverteilleitung und der Erdgasniederdruckleitung in der Rorschacher Strasse, Abschnitt Buchentalstrasse bis Grütlistrasse sowie der Erneuerung der Erdgas-Mitteldruckleitung in der Grütlistrasse, Abschnitt Rorschacher Strasse bis Scheidwegstrasse 22; Zusatzkredit",10
313,Unterer Brühl; Neue Ein- und Ausfahrt und Erweiterung des Parkhauses sowie Neugestaltung der Parkanlage,13
314,"Jubiläum „St.Gallen 500 Jahre Reformation“, 2017 bis 2018; Projekte mit städtischem Bezug; Verpflichtungskredit und Nachtragskredit (2099.36510)",3
315,"Initiativbegehren ""Zur Förderung des gemeinnützigen Wohnungsbaus""; Antrag auf Ablehnung und Gegenvorschlag",16
316,Erneuerung und Sanierung der Fenster an der Liegenschaften Davidstr. 40-46 (Lagerhaus),2
317,"Hardungstrasse 4, Sanierung Fassade und Treppenhaus",2
318,Vereinbarung über die Zusammenarbeit im Bereich Bevölkerungsschutz,6
319,"St.Gallen – Fürstenlandstrasse; Erneuerung der Wassertransportleitung in der Fürstenlandstrasse, Abschnitt Burgstrasse bis Ahornstrasse; Verpflichtungskredit",10
320,"Jugendkulturraum ""Flon""; Standortwechsel im Lagerhaus und definitive Installationen",5
321,Rahmenkredit 2015 für das Sanierungsprogramm der Elektrizitätsversorgung,2
322,Nachtragskredite im Rechnungsjahr 2008,2
323,"Hechtackerstrasse, Haggenstrasse bis Bernhardswiesstrasse, Instandstellung und Neugestaltung; Verpflichtungskredit",16
324,"Abgabe einer Teilfläche der Liegenschaft St.Fiden Nr. F5521, Oberschachen, im Baurecht an die Promold AG",2
325,Baubeitrag und Darlehen für An- und Umbauprojekt im Altersheim Rotmonten,7
326,Reservoirs; Ersatz Reservoir und Pumpwerk Speicherstrasse; Zusatzkredit,10
327,"Erteilung eines Baurechts über das Grundstück St.Fiden Nr. 2999, Kolumbanstrasse für eine Wohn- und Gewerbeüberbauung",16
328,Primarschule St.Leonhard; Sanierung der Kanalisationsanschlüsse und bauliche Folgemassnahmen,4
329,Übergangslösung für die Tagesbetreuung Riethüsli,5
330,"Volksinitiative ""Strassen zum Leben""; Stellungnahme des Stadtrates",0
331,Erdgaseinspeisung ins Gebiet Heiligkreuz / Bruggwald; Neubau einer Hochdruck- und Niederdruck-Erdgasleitung sowie einer Druckregelanlage (DRA); Zusatzkredit,10
332,Zusätzlicher Beitrag für Konzert und Theater St.Gallen,3
333,"St.Gallen – Bildweiherstrasse 2. Teil; Erneuerung der Erdgasmitteldruck- und Wasser-verteilleitung in der Bildweiherstrasse, Abschnitt Mövenstrasse bis Herisauer Strasse; Verpflichtungskredit",10
334,Sanierung und Ausbau der Primarschulanlage St.Leonhard,5
335,Budgetprozess und finanzielle Führung,2
336,Bericht der ständigen parlamentarischen Kommissionen zu Vorstössen des Jahres 2008 gemäss Partizipationsreglement,0
337,"Zonenplanänderungen Letzistrasse, Kinderspital, Gatterstrasse und Untere Langgasse",16
338,Teilrevision des Personalreglements (PR) - Nachtrag XVII,11
339,Voranschlag 2002,2
340,"Primarschule Hebel-Bach, Provisorium für Betreuung und Primarschule, Projektierungs- und Ausführungskredit",5
341,Geschäftsbericht 2013 der Sankt Galler Stadtwerke,10
342,Überbauungsplan Kantonsspital St.Gallen / Ostschweizer Kinderspital; 1. Änderung,16
343,Stiftung St.Galler Museen; Ausweitung des Leistungsauftrags und Erhöhung der Subvention,3
344,Neues Produkt «St.Galler Solar Community»; Erlass eines Nachtrags II zum Stadtwerkereglement (SWR) vom 24. März 2015,10
345,"Konzept ""Offene Arbeit mit Kindern in der Stadt St.Gallen""",7
346,Interpellation Daniel Knaus und Daniel Bertoldo: Strassenbeleuchtung mit LED; schriftlich,10
347,Verlängerung der Partnerschaft zwischen der Stadt und dem HSG Smart Government Lab,4
348,Bau einer neuen Transformatorenstation Schönewies,2
349,Public Wireless Area Network St.Gallen; Erneuerng und Netzergänzung,13
350,"Theater St.Gallen, Umnutzungen und Erweiterung der Werkstätten sowie Verlegung des Gartenbauamt-Stützpunktes Zentrum",3
351,Unterstützung des St.Gallerfestes 2013 und 2014,3
352,Gewaltprävention - Jugendliche als interkulturelle Brückenbauer,5
353,"Erlass des Überbauungsplanes ""Remishueb Ost""",16
354,Bahnhofplatz; Aufwertung und Neugestaltung,16
355,Provisorium für den Mittagstisch Schulhaus Feldli am Gerbeweg,5
356,Totalrevision des Parkierreglements (sRS 712.2),13
357,Neubau der Erdgas-Mitteldruckleitung und Sanierung der Erdgas-Niederdruckleitung in der Vonwil-/Tschudistrasse; 2. Zusatzkredit,10
358,Wahl Ombudsperson-Stellvertreter,6
359,"Konzept ""Offene Arbeit mit Kindern in der Stadt St.Gallen""; Pilotprojekt",7
360,Kulturkonzept 2009,3
361,Jährlicher Betriebsbeitrag an die Stiftung Sitterwerk,3
362,Schule für Gestaltung Schulhaus Bild; Sanierung und betriebliche Anpassungen,5
363,Rechnung 2001,2
364,"Überbauungs- und Gestaltungsplan ""Haldenhof I""",16
365,Erweiterung des Busnetzes der Verkehrsbetriebe; Versuchsbetrieb auf einer Zubringerlinie Riethüsli-Oberhofstetten,14
366,Erlass eines Reglements über die städtischen Leistungen zu Gunsten von Einrichtungen zur Betreuung und Pflege von Betagten,7
367,Änderung der Stiftungsstruktur der St.Galler Museen und der Subventionsordnung,3
368,Umbau und Sanierung des Wohnheimes für Kinder und Jugendliche Riederenholz,7
369,"Überbauungsplan ""Gaiserwaldstrasse, Parzelle W3254"" für die Projekte OBI-Markt / M-Parc",16
370,Beschäftigungsprogramme für Asylsuchende,15
371,Abgabe der Liegenschaft Museumstrasse 1 im Baurecht an die Bank Wegelin und Erwerb der Liegenschaft Rorschacher Strasse 1 / Museumstrasse 2,2
372,Überbauungsplan Distelistrasse 1 - 7,16
373,Totalrevision Abfallreglement,1
374,Revision der Elektrizitätstarife; Nachtrag I zum Tarif für die Abgabe elektrischer Energie in Niederspannung mit Leistungserfassung (Tarif G; sRS 512.22) und zum Tarif für die unterbrechbare Abgabe elektrischer Energie (Unterbrechbarer Tarif U; sRS 512.24),10
375,FigurenTheater; Subventionserhöhung ab 2020,3
376,"Rorschacher Strasse, Buswendeplatz Neudorf, Neugestaltung; Verpflichtungskredit",16
377,"St.Gallen – Rorschacher Strasse; Erneuerung der Wassertransportleitung sowie der Wasserverteilleitung und der Erdgasniederdruckleitung in der Rorschacher Strasse, Abschnitt Buchentalstrasse bis Grütlistrasse sowie der Erneuerung der Erdgas-Mitteldruckleitung in der Grütlistrasse, Abschnitt Rorschacher Strasse bis Scheidwegstrasse 22; Zusatzkredit",10
378,Einsatz von interaktiven Wandtafeln in den städtischen Schulen,5
379,Neufassung des Reglements über Ruhetag und Ladenöffnung,6
380,Verkauf von Wohn- und Gewerbebauland an der Haggenstrasse (Parzelle Nr. W3515) an die Raiffeisen Pensionskasse,2
381,VBSG-Linie 2; Verlängerung Hinterberg; Versuchsbetrieb,14
382,Finanzierung des Fachbereiches Klassik an der Musikakademie,5
383,Beteiligung Biorender AG,10
384,"Schulhaus Boppartshof, behindertengerechte Erschliessung und Sanierung der Aussenanlagen",5
385,"Neuer Richtplan der Stadt St.Gallen; Grundlegung, Vorgehen und Planungskredit",16
386,Bericht der ständigen parlamentarischen Kommissionen zu Vorstössen des Jahres 2020 gemäss Partizipationsreglement,0
387,Gründung und Anschubfinanzierung der Spitex St.Gallen AG,7
388,Erneuerung der Hochdruckstation Wittenbach,10
389,Gesamtrevision des Reglements über den Energiefonds,12
390,"Guggerstrasse, Instandstellung zwischen der Oberhofstettenstrasse und dem Wendeplatz; Projektgenehmigung und Verpflichtungskredit",16
391,Folchart- bis Schneebergstrasse; Erneuerung und Erweiterung der Erschliessung mit Wasser,10
392,Schulanlage Heimat-Buchwald; Aufstockung und Umbau des Schulhauses zur Bereitstellung von zusätzlichem Schulraum,5
393,"Rorschacher Strasse, Buswendeplatz Neudorf, Neugestaltung; Verpflichtungskredit",16
394,"Erneuerung der Wassertransportleitung in der Fürstenlandstrasse, Zusatzkredit",10
395,"Gestaltungsplan ""Olma Kongress- und Konferenzgebäude mit Hotel""",16
396,Sanierung der Schulanlage Schönau und Sanierung Zivilschutzanlage; Erteilung eines Zusatzkredites für die teuerungsbedingten Mehrkosten,5
397,Rahmenkredit für Wasserleitungssanierungen für die Legislaturperiode 2009 – 2012; Zusatzkredit,2
398,Rechnung der Stadt St.Gallen 2017,2
399,"Ausbau Fernwärmenetz, Phase 2; Rahmenkredit",2
400,Konzept für eine familien- und kinderfreundliche Stadt; Schulsozialarbeit in Kindergarten und Primarschule,5
401,Primarschule Riethüsli; Sofortmassnahmen,5
402,Talschulen – Bergschulen: Ersatz der Schulquartiere durch Einzugsgebiete zu den Schulhäusern,5
403,Schulraumplanung in der Stadt St.Gallen,5
404,Sanierung und Umnutzung der ehemaligen Käsehalle; Zusatzkredit,2
405,Umgestaltung und Aufwertung der Poststrasse,16
406,Unterstützung Concours de Saut International Officiel Schweiz St.Gallen (CSIO),8
407,Aufwertung der Poststrasse,16
408,Bauliche Anpassungen in der Primarschulanlage Spelterini,5
409,Nachtrag I zum Abwasserreglement; Senkung des Gebäudebeitrages,1
410,Neue Weihnachtsbeleuchtung für St.Gallen,16
411,Sicherheitsaufwendungen der Polizei und Kostenersatz bei Fussballveranstaltungen in der Arena St.Gallen,9
412,"Einzugsgebiet Rotmonten-Gerhalde, Umnutzung Kirchlistrasse 2 für die Betreuung; Zusatzkredit",5
413,Primarschule Gerhalde: Innensanierung und Neubau Turnhalle - Projektierungskredit,5
414,"Werkhof Waldau, Sömmerliwaldstrasse 7; Betriebliche Verbesserungen; Zusatzkredit",4
415,Beschaffung von 24 Gelenk-Trolleybussen,14
416,VBSG-Linie 12 „Diagonallinie“; Umwandlung des Versuchsbetriebs in einen regulären Betrieb und Durchbindung mit der Linie 10,13
417,Bahnhofplatz; Aufwertung und Neugestaltung,16
418,"Einzugsgebiet Rotmonten-Gerhalde; Umnutzung Kirchlistrasse 2 für die Betreuung, Projektierungs- und Ausführungskredit",5
419,"Neuer Richtplan der Stadt St.Gallen; Grundlegung, Vorgehen und Planungskredit",16
420,Erhöhung des jährlichen Beitrags an den Verein St.Gallen-Bodensee Tourismus,6
421,Umweltkonzept der Stadt St.Gallen,12
422,a) Wahl einer Ombudsperson b) Wahl einer Ombudsperson-Stellvertretung c) Ombudsstelle; Nachtragskredit,11
423,"Schutzverordnung ""Burgweier"" sowie Gestaltungsplan und Zonenplanänderung ""Burgstrasse""",16
424,Standortbeitrag an den Neubau des Bundesverwaltungsgerichtes,6
425,Rechnung 2010,2
426,"Gestaltungsplan ""Kesselhaldenstrasse - Hagenwiler Strasse""",16
427,Geschäftsbericht des Stadtrates über das Amtsjahr 2008 sowie Geschäftsbericht der Ombudsperson,9
428,Unterstützung des St.Gallerfestes 2012; Nachtragskredit,3
429,"Liegenschaft ""Palace"" (Zwinglistrasse 3); Sanierung und Umbau für die kulturelle Nutzung sowie städtischer Betriebsbeitrag",3
430,Voranschlag 2009 und Bericht zum Voranschlag 2009,2
431,"St.Leonhard-Strasse, Gäbrisstrasse – Kornhausstrasse, Aufwertung; Verpflichtungskredit",16
432,"St.Gallen - Demutstrasse; Erschliessung der Erdgasmitteldruckleitung in der Demutstrasse, Abschnitt Demutstrasse Nr. 50 bis Riethüslistrasse",10
433,Umorganisation und Sanierung Zivilschutzanlage Brühltor,6
434,"Überbauungsplan, Zonenplanänderung und Erschliessungsprojekt ""Güterbahnhof""",16
435,"Zonenplanänderung, Gestaltungsplan und Erschliessungsprojekt für das Bundesverwaltungsgericht",6
436,"Kurzbericht über die Arbeit der Spezialkommission Ausgliederung der Sankt Galler Stadtwerke (sgsw) aus der Stadtverwaltung, den Rückzugsentscheid des Stadtrats und die Auflösung der Spezialkommission sowie Ausblick auf das weitere Vorgehen",10
437,Neues Abwasserreglement,1
438,Bericht über die Umsetzung des Integrationskonzeptes der Stadt St.Gallen in den Pilotjahren 2002 - 2004,0
439,"Erneuerung Mischwasserkanal Rechenstrasse, Abschnitt Zürcher Strasse bis Regenbecken Rechenwald; Entlastungsleitung vom Regenbecken Rechenwald zur Sitter; Verpflichtungskredit",1
440,Familienergänzende Betreuung von Kindern im Vorschulalter - Etappenweise Erhöhung der Anzahl subventionierter Krippenplätze auf 300,7
441,"Nachtragskredit: Erhöhung der städtischen Beiträge an die ""Hilfe und Pflege zu Hause""",7
442,Tarifmassnahmen im Gemeinschaftstarif des Tarifverbundes Ostwind und im Tarif der Verkehrsbetriebe,14
443,"Neuerschliessung des Areals Maestrani mit Erdgas, Wasser und Elektrizität",10
444,Verankerung der Kinder- und Jugendzahnklinik in einem Nachtrag IV zum Reglement über die städtischen Schulen (Schulordnung) vom 29. August 2006,5
445,Sanierung altes Lagerhaus; Erteilung eines Zusatzkredites,2
446,"Volksinitiative ""Strassen zum Leben""; Stellungnahme des Stadtrates",0
447,Voranschlag 2018,2
448,Logistikbauten Kehrichtheizkraftwerk (KHK); Erweiterung der Projektierungsarbeiten; Zusatzkredit,1
449,Voranschlag 2005,2
450,Erlass eines Energiereglements,12
451,Verbesserung der Arbeitssituation der Schulleitungen der Stadt St.Gallen,11
452,Wiederwahl des Leiters der Finanzkontrolle für die Amtsdauer 2017 - 2020,11
453,"St.Gallen - Zürcher Strasse; Erneuerung der Wasserverteilleitungen sowie Neubau einer Wasser-Transportleitung in der Zürcher Strasse, Abschnitt Lerchenfeld- bis Erlachstrasse",10
454,Geschäftsbericht 2019 der Verkehrsbetriebe St.Gallen (VBSG),14
455,"Pavillon und Villa Primarschule Oberzil, Fassadensanierung und betriebliche Optimierung; Ausführungskredit",5
456,St.Gallen – Bahnhofstrasse; Erneuerung der Wassertransport- und Wasserverteilleitung sowie der Erdgas-Niederdruckleitung in der Bahnhofstrasse; Abschnitt Waisenhausstrasse  bis Blumenbergplatz sowie Erneuerung Elektrizitätsversorgung; Verpflichtungskredit,10
457,Änderung von Bauordnung und Zonenplan für die Einfamilienhausgebiete,16
458,"Wohnhaus Oberstrasse 227/229, Sanierung mit Anpassung zur Nutzung für betreute Wohngemeinschaften; Verpflichtungskredit",2
459,"Sanierung und Neunutzung der ""Papiermühle"" (Kräzernstrasse 79)",2
460,Rechnung 2008,2
461,Nachrüstung des Kehrichtheizkraftwerks mit einer Dioxinabscheidung (ADIOX),1
462,Textilmuseum St.Gallen; Subventionserhöhung ab dem Jahr 2019,3
463,Budget 2021,2
464,Förderung von ökologischen Massnahmen zum Gewässerschutz; Nachtrag III zum Abwasserreglement vom 26. April 2005 (SRS 543.1),1
465,Bericht der ständigen parlamentarischen Kommissionen zu Vorstössen des Jahres 2013 gemäss Partizipationsreglement,0
466,Revision des Reglements der Versicherungskasse,11
467,Beschaffung einer Autodrehleiter; Verpflichtungskredit,15
468,Nestweiher; Erneuerung der Quellwasserzufuhr aus dem Gebiet Watt,16
469,Genossenschaft Olma Messen St.Gallen; Unterstützung,6
470,Sanierung des Historischen und Völkerkundemuseums; Zusatzkredit,3
471,Verkaufsstelle und Personalräume der Verkehrsbetriebe im Pavillon Bahnhofplatz (neue Vorlage Nr. 4662 vom 11. Mai 2004),14
472,Reglement über die Ombudsperson,6
473,Wohnhaus Grossackerstrasse 4; Innensanierung Hausteil Süd und Treppenhaus,2
474,"Zürcher Strasse, Stahlstrasse bis Rechenstrasse; Instandstellung und Strassenraumgestaltung sowie Erneuerung von Ver- und Entsorgungsleitungen",16
475,Voranschlag 2006,2
476,Reglement über die Ombudsperson,6
477,Zonenplanänderung St.Leonhard-Strasse 45,16
478,"Ausgliederung Versicherungskasse, Wechsel zum Beitragsprimat, Ausfinanzierung",11
479,"Metzgergasse, Neugestaltung im Abschnitt Marktplatz bis Unterer Graben; Verpflichtungskredit",16
480,Verlängerung der Bionstrasse bis zur Bauzonengrenze und Neubau der Transformatorenstation,16
481,Rechnung der Stadt St.Gallen 2020,2
482,Nachtrag V zur Gemeindeordnung - Wahl des Stadtpräsidiums und der übrigen Mit-glieder des Stadtrates in Übereinstimmung mit dem Gemeindegesetz von 2009,6
483,St.Gallen - Ruckhalde; Tschudistrasse bis Teufener Strasse; Neubau der Mitteldruck-Erdgasleitung und einer Druckregelanlage sowie Neubau der Wasser-Verteilleitung bzw. Sanierung der Niederdruck-Erdgasleitung,10
484,Neufassung des Reglements über Ruhetag und Ladenöffnung,6
485,Nachtragskredite im Rechnungsjahr 2010,2
486,Nachtrag II zum Geschäftsreglement des Stadtparlaments: Anpassung der Bestimmungen über Bürgerrechtsgesuche an das neue kantonale Recht sowie Klärung der Bestimmungen über die Postulate,0
487,Parkplatzbewirtschaftung für städtisches Personal inkl. Lehrkräfte,11
488,"Einzugsgebiet der Primarschule Rotmonten-Gerhalde, Neubau Dreifachkindergarten und Tagesbetreuung an der Iddastrasse 25 (Grundstück Nr. F0481); Verpflichtungskredit für einen Wettbewerb mit Vorprojekt",5
489,Primarschule Engelwies: Umbau Schulküche und Neubau Pausenhalle; Verpflichtungskredit,5
490,Contracting Notstromanlage Stadion / Einkaufszentrum West; Spitzenlastdeckung,10
491,"Aufwertung und Neugestaltung des Bahnhofplatzes; Verkehrskonzept, Rahmenbedingungen und Gestaltungswettbewerb",4
492,Sicherheitsaufwendungen der Polizei und Kostenersatz bei Fussballspielen in der Arena St.Gallen,9
493,Areal Schiltacker; Hundesportanlage und Standplatz für Fahrende,2
494,Spitexfinanzierung und Qualitätssicherung,7
495,Kinderkrippen; Anpassung des kostendeckenden Tagessatzes,7
496,"St.Gallen - Rorschacherstrasse; Erneuerung der Wassertransport-, der Wasserverteil- und der Erdgasniederdruckleitung in der Rorschacherstrasse, Abschnitt Helvetiastrasse bis Sonneggstrasse; Verpflichtungskredit",10
497,Nachtragskredite im Rechnungsjahr 2014,2
498,Baubeitrag für Um- und Ausbau Altersheime Sömmerli; Verpflichtungskredit,7
499,Erhöhung der Beteiligung an der City Parking St.Gallen AG,2
500,Dritte Etappe zur Werterhaltung der Abwasserreinigungsanlage (ARA) Hofen-Wittenbach,1
501,Neugestaltung der Lämmlisbrunnenstrasse,16
502,"Rahmenkredite für Kanal-, Werkleitungs- und Strassensanierungen für die Legislaturperiode 2021–2024 (nur noch Antrag 5 sowie Kapitel 3.5)",2
503,Mehr Lehrstellen für schwächere Schülerinnen und Schüler bei der Verwaltung,11
504,"Engelgasse, Neugestaltung im Abschnitt Marktplatz bis Augustinergasse; Verpflichtungskredit",16
505,Sanierung Wohnhaus Brauerstrasse 71; Erteilung eines Zusatzkredites zur Bauabrechnung,2
506,Ersatzbeschaffung eines Lastkraftwagens (LKW) für die Materialverwaltung,10
507,"Gerhaldenstrasse, Strassenanpassung infolge Tempo 30; Verpflichtungskredit",16
508,Aufbau eines geografischen Netzinformationssystems (GIS/NIS); Systembeschaffung und Erstdatenerfassung im Bereich Elektrizitätsversorgung (Teilprojekt E-NIS),10
509,Abgabe im Baurecht für die neue Wohnüberbauung Notkersegg / Wiesen,16
510,"Wohnhaus Singenbergstrasse 3, Sanierung mit Anpassungen zur Nutzung durch die Wohngemeinschaft Arche der Stiftung Suchthilfe; Verpflichtungskredit",2
511,St.Gallen – Bogenstrasse; Erneuerung der Wasser-Transportleitung sowie der Erdgas-Hochdruckleitung in der Bogenstrasse; Abschnitt Bogenstrasse 10 bis Rosenbergstrasse 95; Verpflichtungskredit,10
512,Familienergänzende Betreuung von Kindern im Vorschulalter - Erhöhung der Anzahl subventionierter Krippenplätze auf 330,7
513,Revision Feuerschutzreglement,15
514,Sanierung und Ausbau des Joosrütibaches,1
515,Zylistrasse - Güterbahnhofstrasse - Oberstrasse; Passerelle über die Bahngeleise,16
516,Erweiterung der Primarschule Schönenwegen; Erteilung eines Ausführungskredites,5
517,Versuchsbetrieb Seebus: Verpflichtungskredit für den Kauf von vier MAN Niederflur-Dieselbussen und Bewilligung neuer Stellen im Fahrdienst,14
518,Sonderstrasse; Instandstellung und Korrektion von der St.Georgen-Strasse bis zum Kreuzhofweg sowie Ausbau des Laderenbaches,16
519,Förderung beschäftigungswirksamer Arbeitszeitmodelle,11
520,Städtische Beitragsleistung an die Kinder- und Jugendhilfe St.Gallen,5
521,Eröffnung Freiwillige Schulhausangebote Krontal und Gerhalden,5
522,Erhöhung des Betriebsbeitrages an die Genossenschaft Schwimmbad Rotmonten,8
523,Stiftung St.Galler Museen: Subventionserhöhung 2009 und Bericht zum Postulat „Leistungsauftrag für die Stiftung St.Galler Museen“,3
524,Aufwertung der Poststrasse,16
525,Massnahmen zur Verbesserung der Wasserqualität der Steinach,1
526,Nachtrag I zum Reglement über die Versorgung der Stadt mit Energie und Wasser (Stadtwerke-Reglement),10
527,Projektierung und Bau von Nahwärmeverbunden und Contracting-Anlagen; Rahmenkredit,10
528,"Rahmenkredite für Kanal-, Werkleitungs- und Strassensanierungen für die Legislaturperiode 2021–2024",2
529,"Pilotprojekt für ein Breitbandnetz auf der Basis ""Fiber to the Home"" (FTTH)",10
530,Zusammenfassung der Sozialen Dienste am neuen Standort Haggenstrasse 45; Projektierungskredit,4
531,Wahl der Ratssekretär-Stellvertreterin des Stadtparlaments,11
532,"Kehrichtverbrennungsanlage (KVA); Entsorgung der Rückstände aus der Rauchgasreinigungsanlage, Vorgehen und Verpflichtungskredit",1
533,Neues Abwasserreglement,1
534,Anschluss der städtischen Volksschulen ans Stadtnetzwerk mittels sgsw-Glasfaserverbindung (FTTS-Fibre To The School),5
535,Geschäftsbericht 2019 der Ombudsstelle Stadt St.Gallen,6
536,Deponiebetrieb; Rahmenkredit,1
537,Förderung im Vorkindergartenalter - Projekt Spiki,7
538,Verankerung der Kinder- und Jugendzahnklinik in einem Nachtrag IV zum Reglement über die städtischen Schulen (Schulordnung) vom 29. August 2006,5
539,Geschäftsbericht 2020 der St.Galler Stadtwerke,10
540,Baubeitrag an den Verein Marienheim St.Gallen für die Gesamtsanierung und den Umbau des Alters- und Pflegeheims,7
541,Wohnbaustiftung Russen; Wahl eines städtischen Vertreters in den Stiftungsrat,16
542,Zonenplanänderung Wolfganghof,16
543,Geschäftsbericht und Rechnung 2006 der Ombudsperson,6
544,Geschäftsbericht 2016 der Verkehrsbetriebe (VBSG),14
545,Wiederkehrender Beitrag an die Stiftung Benevol,7
546,Sanierung Reservoir Solitüde,10
547,Beschaffung eines Niederflur Gelenkautobus MAN A23 – Occasionsfahrzeug; Verpflichtungskredit,14
548,Eröffnung eines Freiwilligen Schulhausangebotes für das Schulquartier Feldli,5
549,"Rückzug der Stadt aus der Stiftung ""Musikakademie St.Gallen - Höhere Fachschule für Musik"" und Schliessung des Fachbereiches Klassik",5
550,"Gestaltungspläne Birnbäumen I, II, und III sowie Zonenplanänderung Birnbäumen / Goldbrunnen",16
551,Baubeitrag an den Um- und Anbau des Pflegeheims St.Otmar,7
552,"Neugestaltung Marktplatz, Bohl und Blumenmarkt - Projektstand und weiteres partizipatives Vorgehen",16
553,Budget 2020,2
554,Paul-Grüninger-Stadion; Erweiterung Clublokal,8
555,"Auflösung des ""Fonds für die Erstellung eines Fussgängerstegs von der Paradiesstrasse in die Unterstrasse"" und Überführung der geäufneten Mittel in die Vorfinanzierung für den Langsamverkehr",2
556,"Abschlussprojekt Deponie Tüfentobel, Zusatzkredit zum Verpflichtungskredit",1
557,Einführung des Bewegungsangebots MiniMove in St.Gallen,7
558,Strategie Schul- und Betreuungsraum,5
559,Energiekonzept 2050 Wärme-Elektrizität-Mobilität (Energiekonzept3 2050),12
560,Revision des Reglements der Versicherungskasse,11
561,Initiativbegehren «für eine zukunftsfähige Mobilität (Zukunfts-Initiative)»; Bericht und Antrag des Stadtrats,0
562,Marktplatz; neue Marktstände sowie Sanierung und Ergänzung der Lagerkeller,16
563,Jugendarbeit im Zentrum,5
564,Ersatz Reservoir und Pumpwerk Speicherstrasse,10
565,Bodenabtretungen an den Kanton St.Gallen für das Fachhochschulzentrum,2
566,Wiederwahl des Leiters der Finanzkontrolle für die Amtsdauer 2021 – 2024,11
567,Sanierung und Ausbau der öffentlichen Toiletten-Anlagen; Erteilung eines Rahmenkredites,1
568,"Kehrichtverbrennungsanlage (KVA); Entsorgung der Rückstände aus der Rauchgasreinigungsanlage, Vorgehen und Verpflichtungskredit",1
569,"Liegenschaft Geltenwilenstrasse 2; Renovation der Gebäudehülle, Verbesserung Wärmeschutz und Einbau von Musikproberäumen",2
570,Neubau des Naturmuseums,3
571,Kunst Halle Sankt Gallen; Subventionserhöhung ab 2020,3
572,Ostschweizerischer Verein für das Kind; Erhöhung der städtischen Beitragsleistung betreffend Dienstleistungen der Mütter- und Väterberatung,7
573,Gallusjubiläum 2012,3
574,"Überbauungs- und Gestaltungsplan ""Haldenhof I""",16
575,"Vernehmlassungsbeschluss zum Projekt ""Korrektion der Zürcher Strasse"" (Stadion / Einkaufszentrum West)",8
576,Bau einer neuen Transformatorenstation Bergbach an der Schuppisstrasse samt Eingliederung in die Leitungsnetze,10
577,Umbau des Fussballstadions Espenmoos für den Breitensport; Zusatzkredit,8
578,Erweiterung der Elternrechte an den städtischen Schulen,5
